id,name_short,name,type,sex,birth,position,education,subject,party,religion,kids,twitter,instagram,facebook,youtube
79,DBU,Deutsche Bundesstiftung Umwelt,1,,,,,,,,,,,,
80,WFSPD,Wirtschaftsforum der SPD,1,,,,,,,,,,,,
81,KIT,Karlsruher Institut fuer Technologie,1,,,,,,,,,,,,
82,GrueneJugendRLP,Gruene Jugend Rheinland Pfalz,1,,,,,,,,,,,,
83,KVGermersheim,Kreisverband Germersheim,1,,,,,,,,,,,,
84,KTGermersheim,Kreistag Germersheim,1,,,,,,,,,,,,
85,STWoerth,Stadtrat Woerth,1,,,,,,,,,,,,
86,RPA,Rechnungspruefungsausschuss,1,,,,,,,,,,,,
87,HHA,Haushaltsausschuss,1,,,,,,,,,,,,
88,VA,Verteidigungsausschuss,1,,,,,,,,,,,,
89,VG,Vertrauensgremium,1,,,,,,,,,,,,
90,BAI,Bundesanstalt fuer Immobilienaufgaben,1,,,,,,,,,,,,
91,AiF,Arbeitsgemeinschaft industrieller Forschungsvereinigungen Otto von Guericke,1,,,,,,,,,,,,
92,DIKZ,Deutsche Industrieforschungsgemeinschaft Konrad Zuse,1,,,,,,,,,,,,
93,EUDG,Europa Union Deutschland,1,,,,,,,,,,,,
94,PVNATO,Parlamentarische Versammlung der NATO,1,,,,,,,,,,,,
95,Berger,Roland Berger GmbH,1,,,,,,,,,,,,
96,EOWG,Erste Ostfriesesche Winzergenossenschaft eG,1,,,,,,,,,,,,
97,DGFP,Deutsch Georgisches Forum fuer Politik,1,,,,,,,,,,,,
98,Haviva,Freundeskreis Givat Haviva Deutschland,1,,,,,,,,,,,,
99,AuswAmt,Auswaertige Amt,1,,,,,,,,,,,,
100,DKP,deutsch kanadische Parlamentariergruppe,1,,,,,,,,,,,,
101,NSUU,NSU Untersuchungsausschuss,1,,,,,,,,,,,,
102,LHP,LHP Dienstleistungs und Bildungsgesellschaft mbH,1,,,,,,,,,,,,
103,Bundesjustizministerium,Bundesministerium fuer Justiz,1,,,,,,,,,,,,
104,FDPRav,FDP Ravensburg,1,,,,,,,,,,,,
105,GRBerg,Gemeinderat Berg,1,,,,,,,,,,,,
106,KTRavensburg,Kreistag Ravensburg,1,,,,,,,,,,,,
107,BMCO,Bundesmusikverband Chor und Orchester,1,,,,,,,,,,,,
108,AIH,Ausschuss fuer Inneres und Heimat,1,,,,,,,,,,,,
109,1UA,erster Untersuchungsausschuss,1,,,,,,,,,,,,
110,GP80,Gremium nach Paragraph 80 des Zollfahndungsdienstgesetzes,1,,,,,,,,,,,,
111,Schriftfuehrer,Schriftfuehrer,1,,,,,,,,,,,,
112,ZFOS,Zukunftsforum Oeffentliche Sicherheit,1,,,,,,,,,,,,
113,Blutreitergruppe,Blutreitergruppe Berg,1,,,,,,,,,,,,
114,Kirchenchor,Kirchenchor St Peter und Paul,1,,,,,,,,,,,,
115,DIG,Deutsch israelische Gesellschaft,1,,,,,,,,,,,,
116,Rotary,Rotary Club Ravensburg Weingarten,1,,,,,,,,,,,,
117,AI,amnesty international,1,,,,,,,,,,,,
118,Bundeslandwirtschaftsministerium,Bundesministerium fuer Ernaehrung und Landwirtschaft,1,,,,,,,,,,,,
119,AVdI,Ausschuss fuer Verkehr und digitale Infrastruktur,1,,,,,,,,,,,,
120,Ullstein,Ullstein Buchverlage GmbH,1,,,,,,,,,,,,
121,CPL,Celebrity Speakers Limited,1,,,,,,,,,,,,
122,Heimeier,Dr Heimeier und Partner Management und Personalberatung GmbH,1,,,,,,,,,,,,
123,ErnstYoung,Ernst und Young GmbH Wirtschaftspruefungsgesellschaft,1,,,,,,,,,,,,
124,IMMOEBS,IMMOEBS e.V.,1,,,,,,,,,,,,
125,SIAF,Schweizerisches Institut fuer Auslandforschung,1,,,,,,,,,,,,
126,Tapestry,Tapestry Networks,1,,,,,,,,,,,,
127,LSB,The London Speaker Bureau,1,,,,,,,,,,,,
128,SEFEP,Agora Verkehrswende Smart Energy for Europe Plattform,1,,,,,,,,,,,,
129,DSI,Deutschlandstiftung Integration gemeinnuetzige GmbH,1,,,,,,,,,,,,
130,START,START Stiftung gemeinnuetzige GmbH,1,,,,,,,,,,,,
131,IMUG,Institut für Mobilitaet der Universitaet St Gallen,1,,,,,,,,,,,,
132,IFFS,Institute for Freedom of Faith and Security in Europe,1,,,,,,,,,,,,
133,AJC,American Jewish Committee,1,,,,,,,,,,,,
134,AtI,Atlantische Initiative,1,,,,,,,,,,,,
135,Avicenna,Avicenna Studienwerk,1,,,,,,,,,,,,
136,BVMW,Bundesverband mittelstaendische Wirtschaft,1,,,,,,,,,,,,
137,DPZ,Das Progressive Zentrum,1,,,,,,,,,,,,
138,DTF,Deutsch Tuerkisches Forum Stuttgart,1,,,,,,,,,,,,
139,Playfair,FC Play Fair Verein für Integritaet und Nachhaltigkeit im Fußball,1,,,,,,,,,,,,
140,Boell,Heinrich Boell Stiftung,1,,,,,,,,,,,,
141,IKJ,Ich kann was Initiative für Kinder und Jugendliche,1,,,,,,,,,,,,
142,SGF,Stiftung Gedenken und Frieden,1,,,,,,,,,,,,
143,SNV,Stiftung Neue Verantwortung ,1,,,,,,,,,,,,
144,SBE,Stiftung Bildung Egitim,1,,,,,,,,,,,,
145,Heuss,Theodor Heuss Stiftung,1,,,,,,,,,,,,
146,TDSAP,Tuerkisch Deutsche Studierenden und Akademiker Plattform ,1,,,,,,,,,,,,
147,WWL,Wirtschaftliche Gesellschaft fuer Westfalen und Lippe ,1,,,,,,,,,,,,
148,Bundesverkehrsministerium,Bundesministerium fuer Digitale und Verkehr,1,,,,,,,,,,,,
149,OB Horb,Oberbuergermeister Horb am Neckar,1,,,,,,,,,,,,
150,LTBW,Landtag Baden Wuerttemberg,1,,,,,,,,,,,,
151,FDP Horb,FDP Horb am Neckar,,,,,,,,,,,,,
152,KT Freudenstadt,Kreistag Freudenstadt,1,,,,,,,,,,,,
153,RVNS,Regionalverband Nordschwarzwald,1,,,,,,,,,,,,
154,Maier,Reinhold Maier Stiftung,1,,,,,,,,,,,,
155,Doering,Wolfgang Doering Stiftung,1,,,,,,,,,,,,
156,AAS,Ausschuss fuer Arbeit und Soziales,1,,,,,,,,,,,,
157,AfT,Ausschuss fuer Tourismus,1,,,,,,,,,,,,
158,AfG,Ausschuss fuer Gesundheit,1,,,,,,,,,,,,
159,AWE,Ausschuss fuer Wirtschaft und Energie,1,,,,,,,,,,,,
160,IPKS,Interparlamentarische Konferenz ueber Stabilitaet,1,,,,,,,,,,,,
161,CNC,Communications und Network Consulting AG,1,,,,,,,,,,,,
162,Leuco,Leuco AG,1,,,,,,,,,,,,
163,KS Freudenstadt,Kreissparkasse Freudenstadt,1,,,,,,,,,,,,
164,LBank,Landeskreditbank Baden-Wuerttemberg ,1,,,,,,,,,,,,
165,BBUG,Baden-Badener Unternehmer Gespraeche ,1,,,,,,,,,,,,
166,AIESEC,Deutsches Komitee der AIESEC ,1,,,,,,,,,,,,
167,IDI,Initiative Deutsche Infrastruktur ,1,,,,,,,,,,,,
168,WCD,Wirtschaftspolitischer Club Deutschland ,1,,,,,,,,,,,,
169,TWF,TWF Metallbearbeitungs Holding UG,1,,,,,,,,,,,,
170,LABW,Landesausschuss Baden Wuerttemberg,1,,,,,,,,,,,,
171,ABWSK,Ausschuss fuer Bau Wohnen Stadtentwicklung und Kommunen,1,,,,,,,,,,,,
172,AUNnS,Ausschuss fuer Umwelt Naturschutz und nukleare Sicherheit,1,,,,,,,,,,,,
